,SDG_1,SDG_2,SDG_3,SDG_4,SDG_5,SDG_6,SDG_7,SDG_8,SDG_9,SDG_10,SDG_11,SDG_12,SDG_13,SDG_14,SDG_15,SDG_16,SDG_17
SDG_1,180.0,13.0,24.0,27.0,22.0,11.0,19.0,50.0,52.0,36.0,26.0,31.0,8.0,3.0,12.0,15.0,5.0
SDG_2,13.0,86.0,18.0,10.0,4.0,20.0,8.0,15.0,35.0,0.0,6.0,30.0,15.0,2.0,20.0,5.0,2.0
SDG_3,24.0,18.0,137.0,38.0,34.0,12.0,8.0,25.0,45.0,11.0,20.0,22.0,8.0,4.0,5.0,13.0,5.0
SDG_4,27.0,10.0,38.0,214.0,41.0,7.0,8.0,57.0,91.0,16.0,13.0,28.0,12.0,4.0,8.0,25.0,9.0
SDG_5,22.0,4.0,34.0,41.0,126.0,4.0,3.0,29.0,31.0,24.0,7.0,6.0,6.0,2.0,6.0,20.0,5.0
SDG_6,11.0,20.0,12.0,7.0,4.0,100.0,23.0,6.0,31.0,1.0,22.0,36.0,19.0,9.0,10.0,11.0,9.0
SDG_7,19.0,8.0,8.0,8.0,3.0,23.0,125.0,7.0,45.0,3.0,24.0,34.0,21.0,4.0,7.0,10.0,5.0
SDG_8,50.0,15.0,25.0,57.0,29.0,6.0,7.0,197.0,58.0,24.0,22.0,28.0,9.0,7.0,17.0,18.0,7.0
SDG_9,52.0,35.0,45.0,91.0,31.0,31.0,45.0,58.0,397.0,20.0,41.0,80.0,47.0,28.0,39.0,47.0,42.0
SDG_10,36.0,0.0,11.0,16.0,24.0,1.0,3.0,24.0,20.0,83.0,6.0,8.0,2.0,0.0,2.0,8.0,3.0
SDG_11,26.0,6.0,20.0,13.0,7.0,22.0,24.0,22.0,41.0,6.0,132.0,29.0,12.0,6.0,11.0,12.0,6.0
SDG_12,31.0,30.0,22.0,28.0,6.0,36.0,34.0,28.0,80.0,8.0,29.0,227.0,30.0,19.0,37.0,29.0,11.0
SDG_13,8.0,15.0,8.0,12.0,6.0,19.0,21.0,9.0,47.0,2.0,12.0,30.0,111.0,8.0,15.0,12.0,10.0
SDG_14,3.0,2.0,4.0,4.0,2.0,9.0,4.0,7.0,28.0,0.0,6.0,19.0,8.0,71.0,25.0,3.0,3.0
SDG_15,12.0,20.0,5.0,8.0,6.0,10.0,7.0,17.0,39.0,2.0,11.0,37.0,15.0,25.0,118.0,10.0,3.0
SDG_16,15.0,5.0,13.0,25.0,20.0,11.0,10.0,18.0,47.0,8.0,12.0,29.0,12.0,3.0,10.0,139.0,10.0
SDG_17,5.0,2.0,5.0,9.0,5.0,9.0,5.0,7.0,42.0,3.0,6.0,11.0,10.0,3.0,3.0,10.0,72.0
